alert_code,cse_code,asset_code,severity,category,title,description,created_time,acknowledged_time,closed_time,status,disposition,analyst
ALT-2211,CSE-02,TR-OPS-14,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Traffic contained a known exploit signature targeting unpatched software,2026-07-15T02:11:00+05:30,2026-07-15T02:34:00+05:30,,ACKNOWLEDGED,,P. Nair
ALT-2212,CSE-05,EN-SCADA-04,CRITICAL,c2,Periodic outbound telemetry to unverified DNS domain,Persistent TLS session established to unclassified external endpoint,2026-07-19T13:51:00+05:30,2026-07-19T13:53:00+05:30,2026-07-19T16:33:00+05:30,CLOSED,False positive - verified scheduled maintenance,
ALT-2213,CSE-03,TR-OPS-03,CRITICAL,ddos,SYN flood exhausting SCADA telecontrol interface,Inbound byte volume exceeded baseline by over 500%,2026-07-20T02:56:00+05:30,2026-07-20T03:03:00+05:30,2026-07-20T12:20:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,
ALT-2214,CSE-03,PL-PLC-12,HIGH,sql-injection,Malformed query string on engineering portal,Time-delay SQL injection signature matched in asset query request,2026-08-01T06:32:00+05:30,,,OPEN,,
ALT-2215,CSE-04,EN-SCADA-01,HIGH,port-scan,Sequential port scan against historian server,Sequential low-byte TCP connections observed across multiple ports,2026-07-19T02:20:00+05:30,2026-07-19T02:24:00+05:30,2026-07-19T04:32:00+05:30,CLOSED,Source IP null-routed at edge firewall,R. Iyer
ALT-2216,CSE-05,TR-OPS-14,HIGH,sql-injection,Blind SQL injection heuristic triggered on API gateway,HTTP request to internal web portal contained SQL injection syntax,2026-07-20T04:45:00+05:30,2026-07-20T05:06:00+05:30,2026-07-20T12:43:00+05:30,CLOSED,Patched and verified,K. Rao
ALT-2217,CSE-07,PL-PLC-12,CRITICAL,ddos,UDP amplification traffic targeted at field network switch,High-bandwidth NTP/DNS reflection flood impacting telemetry transmission,2026-07-25T03:07:00+05:30,2026-07-25T03:25:00+05:30,2026-07-25T11:34:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,A. Sharma
ALT-2218,CSE-02,EN-SCADA-04,HIGH,credential-stuffing,Automated credential replay attacking telemetry API,Automated login attempts observed across multiple accounts,2026-08-03T21:59:00+05:30,2026-08-03T22:01:00+05:30,,ACKNOWLEDGED,,R. Iyer
ALT-2219,CSE-07,EN-SCADA-02,MEDIUM,xss,Suspicious script payload in web form submission,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-11T08:38:00+05:30,2026-07-11T08:47:00+05:30,2026-07-11T14:08:00+05:30,CLOSED,Source IP null-routed at edge firewall,A. Sharma
ALT-2220,CSE-05,TR-OPS-14,HIGH,exploit-attempt,Buffer overflow probe targeting legacy PLC firmware,Malicious byte sequence designed to trigger stack corruption detected,2026-07-16T19:13:00+05:30,,,OPEN,,P. Nair
ALT-2221,CSE-03,,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Periodic low-volume outbound connections at fixed intervals,2026-08-06T20:59:00+05:30,,,OPEN,,
ALT-2222,CSE-03,TR-OPS-03,MEDIUM,xss,Stored XSS pattern detected in system event log comments,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-14T12:21:00+05:30,2026-07-14T12:28:00+05:30,2026-07-14T17:51:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,A. Sharma
ALT-2223,CSE-01,,MEDIUM,port-scan,Distributed reconnaissance probing OT gateway,Sequential low-byte TCP connections observed across multiple ports,2026-07-12T09:07:00+05:30,2026-07-12T09:14:00+05:30,,ACKNOWLEDGED,,P. Nair
ALT-2224,CSE-04,,LOW,xss,Suspicious script payload in web form submission,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-08T05:36:00+05:30,2026-07-08T05:46:00+05:30,2026-07-08T14:06:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,P. Nair
ALT-2225,CSE-07,,HIGH,sql-injection,Malformed query string on engineering portal,HTTP request to internal web portal contained SQL injection syntax,2026-08-03T11:52:00+05:30,2026-08-03T11:55:00+05:30,2026-08-03T17:58:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,R. Iyer
ALT-2226,CSE-05,,HIGH,sql-injection,Blind SQL injection heuristic triggered on API gateway,HTTP request to internal web portal contained SQL injection syntax,2026-07-16T14:13:00+05:30,,,OPEN,,
ALT-2227,CSE-07,RTU-SUB-01,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Periodic low-volume outbound connections at fixed intervals,2026-08-03T11:35:00+05:30,2026-08-03T11:38:00+05:30,2026-08-03T13:43:00+05:30,CLOSED,Source IP null-routed at edge firewall,
ALT-2228,CSE-05,ENG-WRK-02,CRITICAL,ddos,UDP amplification traffic targeted at field network switch,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-18T23:57:00+05:30,2026-07-19T00:11:00+05:30,,IN_PROGRESS,,A. Sharma
ALT-2229,CSE-07,HIST-SRV-01,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Traffic contained a known exploit signature targeting unpatched software,2026-07-28T23:49:00+05:30,2026-07-29T00:09:00+05:30,2026-07-29T02:16:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,K. Rao
ALT-2230,CSE-02,RTU-SUB-05,LOW,sql-injection,Malformed query string on engineering portal,Union-based SELECT payload identified in user parameter field,2026-07-21T02:31:00+05:30,2026-07-21T02:47:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2231,CSE-07,HIST-SRV-01,HIGH,brute-force,Multiple RDP failed logons on historian node,High rate of NTLM login failures originating from untrusted subnet,2026-07-12T20:23:00+05:30,2026-07-12T20:33:00+05:30,,ACKNOWLEDGED,,R. Iyer
ALT-2232,CSE-01,TR-OPS-14,CRITICAL,ddos,Volumetric traffic spike against signalling gateway,High-bandwidth NTP/DNS reflection flood impacting telemetry transmission,2026-07-23T17:46:00+05:30,2026-07-23T18:09:00+05:30,,ACKNOWLEDGED,,
ALT-2233,CSE-03,,LOW,ddos,Volumetric traffic spike against signalling gateway,High-bandwidth NTP/DNS reflection flood impacting telemetry transmission,2026-07-27T09:54:00+05:30,2026-07-27T09:57:00+05:30,,IN_PROGRESS,,R. Iyer
ALT-2234,CSE-03,TR-OPS-14,CRITICAL,ddos,SYN flood exhausting SCADA telecontrol interface,High-bandwidth NTP/DNS reflection flood impacting telemetry transmission,2026-07-27T14:23:00+05:30,2026-07-27T14:25:00+05:30,2026-07-27T17:02:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,
ALT-2235,CSE-02,EN-SCADA-02,HIGH,credential-stuffing,High-volume login attempts using leaked credentials,Coordinated brute-force replay utilizing breached username/password pairs,2026-07-13T22:27:00+05:30,,,OPEN,,
ALT-2236,CSE-01,ENG-WRK-07,MEDIUM,xss,Stored XSS pattern detected in system event log comments,Web application firewall flagged embedded script tags in input fields,2026-07-24T05:33:00+05:30,2026-07-24T05:48:00+05:30,2026-07-24T08:56:00+05:30,CLOSED,Patched and verified,A. Sharma
ALT-2237,CSE-02,,HIGH,brute-force,SSH credential brute force against engineering server,High rate of NTLM login failures originating from untrusted subnet,2026-07-19T10:18:00+05:30,2026-07-19T10:25:00+05:30,,IN_PROGRESS,,
ALT-2238,CSE-01,GATEWAY-DMZ-01,MEDIUM,brute-force,Repeated authentication failures on SCADA gateway,High rate of NTLM login failures originating from untrusted subnet,2026-07-24T01:10:00+05:30,2026-07-24T01:19:00+05:30,,IN_PROGRESS,,A. Sharma
ALT-2239,CSE-01,PL-PLC-12,CRITICAL,c2,Beaconing traffic to known suspicious external IP,Command-and-control beacon signature matched in egress traffic,2026-07-24T02:47:00+05:30,2026-07-24T03:01:00+05:30,2026-07-24T12:41:00+05:30,CLOSED,False positive - verified scheduled maintenance,R. Iyer
ALT-2240,CSE-01,RTU-SUB-05,HIGH,sql-injection,SQL syntax anomaly in historian web reporting interface,HTTP request to internal web portal contained SQL injection syntax,2026-07-13T01:39:00+05:30,2026-07-13T01:54:00+05:30,2026-07-13T08:17:00+05:30,CLOSED,False positive - verified scheduled maintenance,P. Nair
ALT-2241,CSE-05,TR-OPS-03,MEDIUM,c2,Periodic outbound telemetry to unverified DNS domain,Periodic low-volume outbound connections at fixed intervals,2026-07-27T23:32:00+05:30,,,OPEN,,
ALT-2242,CSE-05,PL-PLC-12,HIGH,credential-stuffing,Automated credential replay attacking telemetry API,Coordinated brute-force replay utilizing breached username/password pairs,2026-08-05T11:54:00+05:30,2026-08-05T12:17:00+05:30,,IN_PROGRESS,,R. Iyer
ALT-2243,CSE-07,HIST-SRV-01,CRITICAL,ddos,SYN flood exhausting SCADA telecontrol interface,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-21T14:11:00+05:30,2026-07-21T14:17:00+05:30,2026-07-21T18:12:00+05:30,CLOSED,Source IP null-routed at edge firewall,
ALT-2244,CSE-04,PL-PLC-09,CRITICAL,ddos,Volumetric traffic spike against signalling gateway,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-21T04:38:00+05:30,2026-07-21T04:53:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2245,CSE-05,ENG-WRK-02,HIGH,exploit-attempt,Remote code execution string identified in Modbus/TCP stream,Traffic contained a known exploit signature targeting unpatched software,2026-07-31T09:35:00+05:30,2026-07-31T10:00:00+05:30,2026-07-31T13:13:00+05:30,RESOLVED,Compromised host isolated and imaged,R. Iyer
ALT-2246,CSE-03,ENG-WRK-02,MEDIUM,port-scan,Distributed reconnaissance probing OT gateway,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-18T08:37:00+05:30,2026-07-18T08:43:00+05:30,,ACKNOWLEDGED,,R. Iyer
ALT-2247,CSE-01,RTU-SUB-01,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Malicious byte sequence designed to trigger stack corruption detected,2026-07-26T23:55:00+05:30,2026-07-27T00:03:00+05:30,2026-07-27T07:13:00+05:30,CLOSED,Source IP null-routed at edge firewall,P. Nair
ALT-2248,CSE-02,TR-OPS-14,LOW,brute-force,SSH credential brute force against engineering server,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-16T03:21:00+05:30,2026-07-16T03:37:00+05:30,2026-07-16T04:57:00+05:30,CLOSED,Patched and verified,R. Iyer
ALT-2249,CSE-04,TR-OPS-14,HIGH,exploit-attempt,Remote code execution string identified in Modbus/TCP stream,Packet structure matched signature for CVE-2023 remote execution attempt,2026-07-22T13:49:00+05:30,2026-07-22T14:10:00+05:30,2026-07-22T23:10:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,K. Rao
ALT-2250,CSE-04,PL-PLC-09,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Packet structure matched signature for CVE-2023 remote execution attempt,2026-07-20T18:08:00+05:30,2026-07-20T18:25:00+05:30,2026-07-20T22:57:00+05:30,CLOSED,False positive - verified scheduled maintenance,P. Nair
ALT-2251,CSE-01,HIST-SRV-01,MEDIUM,xss,Cross-site scripting vector identified in operator console,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-07-11T19:15:00+05:30,2026-07-11T19:21:00+05:30,,ACKNOWLEDGED,,A. Sharma
ALT-2252,CSE-04,TR-OPS-14,MEDIUM,xss,Cross-site scripting vector identified in operator console,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-08-01T19:55:00+05:30,2026-08-01T20:10:00+05:30,2026-08-01T21:43:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,P. Nair
ALT-2253,CSE-04,EN-SCADA-01,CRITICAL,c2,Periodic outbound telemetry to unverified DNS domain,Command-and-control beacon signature matched in egress traffic,2026-07-25T21:13:00+05:30,2026-07-25T21:32:00+05:30,2026-07-26T01:43:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,A. Sharma
ALT-2254,CSE-03,,HIGH,exploit-attempt,Buffer overflow probe targeting legacy PLC firmware,Packet structure matched signature for CVE-2023 remote execution attempt,2026-07-26T12:52:00+05:30,2026-07-26T13:08:00+05:30,,ACKNOWLEDGED,,A. Sharma
ALT-2255,CSE-05,EN-SCADA-01,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Periodic low-volume outbound connections at fixed intervals,2026-07-11T22:56:00+05:30,2026-07-11T23:02:00+05:30,2026-07-12T07:33:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,R. Iyer
ALT-2256,CSE-03,GATEWAY-DMZ-01,HIGH,credential-stuffing,Distributed account takeover attempts across operator accounts,Coordinated brute-force replay utilizing breached username/password pairs,2026-07-25T09:21:00+05:30,2026-07-25T09:36:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2257,CSE-01,,HIGH,brute-force,Repeated authentication failures on SCADA gateway,High rate of NTLM login failures originating from untrusted subnet,2026-07-18T08:09:00+05:30,,,OPEN,,
ALT-2258,CSE-07,EN-SCADA-02,MEDIUM,brute-force,Repeated authentication failures on SCADA gateway,Burst of failed authentication handshakes targeting remote access console,2026-07-15T01:41:00+05:30,2026-07-15T01:47:00+05:30,,ACKNOWLEDGED,,P. Nair
ALT-2259,CSE-07,TR-OPS-03,MEDIUM,xss,Cross-site scripting vector identified in operator console,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-15T18:31:00+05:30,2026-07-15T18:52:00+05:30,2026-07-15T21:13:00+05:30,CLOSED,Patched and verified,S. Verma
ALT-2260,CSE-01,EN-SCADA-01,CRITICAL,ddos,SYN flood exhausting SCADA telecontrol interface,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-17T03:52:00+05:30,,,OPEN,,
ALT-2261,CSE-07,RTU-SUB-01,MEDIUM,port-scan,SYN sweep detected across substation network segment,Stealth FIN scan detected targeting SCADA network perimeter,2026-08-04T11:03:00+05:30,,,OPEN,,
ALT-2262,CSE-05,EN-SCADA-02,HIGH,credential-stuffing,Automated credential replay attacking telemetry API,Coordinated brute-force replay utilizing breached username/password pairs,2026-07-11T06:34:00+05:30,2026-07-11T06:56:00+05:30,2026-07-11T13:08:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,P. Nair
ALT-2263,CSE-04,TR-OPS-03,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Periodic low-volume outbound connections at fixed intervals,2026-07-27T22:55:00+05:30,2026-07-27T23:20:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2264,CSE-07,RTU-SUB-05,HIGH,exploit-attempt,Remote code execution string identified in Modbus/TCP stream,Packet structure matched signature for CVE-2023 remote execution attempt,2026-07-20T08:24:00+05:30,2026-07-20T08:33:00+05:30,,IN_PROGRESS,,R. Iyer
ALT-2265,CSE-03,,MEDIUM,xss,Stored XSS pattern detected in system event log comments,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-07-25T09:12:00+05:30,2026-07-25T09:14:00+05:30,,IN_PROGRESS,,P. Nair
ALT-2266,CSE-03,PL-PLC-09,HIGH,exploit-attempt,Buffer overflow probe targeting legacy PLC firmware,Malicious byte sequence designed to trigger stack corruption detected,2026-07-20T20:42:00+05:30,2026-07-20T21:06:00+05:30,2026-07-21T02:09:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,K. Rao
ALT-2267,CSE-02,EN-SCADA-04,MEDIUM,xss,Cross-site scripting vector identified in operator console,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-07-19T01:44:00+05:30,2026-07-19T02:06:00+05:30,2026-07-19T10:51:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,R. Iyer
ALT-2268,CSE-01,HIST-SRV-01,MEDIUM,xss,Suspicious script payload in web form submission,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-08-03T14:27:00+05:30,2026-08-03T14:44:00+05:30,,IN_PROGRESS,,K. Rao
ALT-2269,CSE-05,ENG-WRK-07,HIGH,c2,Periodic outbound telemetry to unverified DNS domain,Persistent TLS session established to unclassified external endpoint,2026-07-28T18:51:00+05:30,2026-07-28T19:02:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2270,CSE-02,TR-OPS-03,MEDIUM,xss,Stored XSS pattern detected in system event log comments,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-07-16T13:28:00+05:30,2026-07-16T13:36:00+05:30,,ACKNOWLEDGED,,
ALT-2271,CSE-04,RTU-SUB-05,MEDIUM,ddos,SYN flood exhausting SCADA telecontrol interface,Inbound byte volume exceeded baseline by over 500%,2026-07-24T13:25:00+05:30,2026-07-24T13:36:00+05:30,,ACKNOWLEDGED,,R. Iyer
ALT-2272,CSE-07,TR-OPS-14,CRITICAL,ddos,Volumetric traffic spike against signalling gateway,High-bandwidth NTP/DNS reflection flood impacting telemetry transmission,2026-07-21T10:20:00+05:30,2026-07-21T10:42:00+05:30,,ACKNOWLEDGED,,P. Nair
ALT-2273,CSE-01,EN-SCADA-01,CRITICAL,ddos,SYN flood exhausting SCADA telecontrol interface,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-16T12:37:00+05:30,,,OPEN,,P. Nair
ALT-2274,CSE-01,EN-SCADA-04,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Persistent TLS session established to unclassified external endpoint,2026-07-10T13:48:00+05:30,2026-07-10T13:54:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2275,CSE-03,EN-SCADA-04,MEDIUM,xss,Cross-site scripting vector identified in operator console,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-08-04T06:22:00+05:30,2026-08-04T06:31:00+05:30,2026-08-04T16:02:00+05:30,CLOSED,Source IP null-routed at edge firewall,P. Nair
ALT-2276,CSE-04,HIST-SRV-01,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Periodic low-volume outbound connections at fixed intervals,2026-08-04T21:07:00+05:30,,,OPEN,,
ALT-2277,CSE-02,PL-PLC-12,CRITICAL,ddos,Volumetric traffic spike against signalling gateway,Inbound byte volume exceeded baseline by over 500%,2026-07-16T01:06:00+05:30,2026-07-16T01:10:00+05:30,2026-07-16T04:31:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,P. Nair
ALT-2278,CSE-04,,CRITICAL,ddos,SYN flood exhausting SCADA telecontrol interface,High-bandwidth NTP/DNS reflection flood impacting telemetry transmission,2026-07-21T00:03:00+05:30,2026-07-21T00:07:00+05:30,2026-07-21T04:47:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,
ALT-2279,CSE-05,PL-PLC-12,CRITICAL,c2,Beaconing traffic to known suspicious external IP,Persistent TLS session established to unclassified external endpoint,2026-07-14T21:59:00+05:30,2026-07-14T22:05:00+05:30,,IN_PROGRESS,,R. Iyer
ALT-2280,CSE-01,PL-PLC-09,CRITICAL,ddos,UDP amplification traffic targeted at field network switch,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-28T02:55:00+05:30,,,OPEN,,
ALT-2281,CSE-03,GATEWAY-DMZ-01,CRITICAL,ddos,SYN flood exhausting SCADA telecontrol interface,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-11T19:06:00+05:30,2026-07-11T19:09:00+05:30,2026-07-12T03:13:00+05:30,CLOSED,False positive - verified scheduled maintenance,K. Rao
ALT-2282,CSE-03,EN-SCADA-01,MEDIUM,port-scan,Distributed reconnaissance probing OT gateway,Stealth FIN scan detected targeting SCADA network perimeter,2026-08-03T20:32:00+05:30,,,OPEN,,
ALT-2283,CSE-07,RTU-SUB-05,HIGH,brute-force,Repeated authentication failures on SCADA gateway,High rate of NTLM login failures originating from untrusted subnet,2026-07-31T18:05:00+05:30,2026-07-31T18:15:00+05:30,2026-07-31T21:55:00+05:30,RESOLVED,Compromised host isolated and imaged,P. Nair
ALT-2284,CSE-07,,MEDIUM,port-scan,SYN sweep detected across substation network segment,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-22T17:55:00+05:30,,,OPEN,,
ALT-2285,CSE-03,,HIGH,exploit-attempt,Buffer overflow probe targeting legacy PLC firmware,Packet structure matched signature for CVE-2023 remote execution attempt,2026-07-09T19:19:00+05:30,2026-07-09T19:23:00+05:30,2026-07-10T01:26:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,S. Verma
ALT-2286,CSE-01,GATEWAY-DMZ-01,HIGH,brute-force,Multiple RDP failed logons on historian node,High rate of NTLM login failures originating from untrusted subnet,2026-07-26T22:37:00+05:30,,,OPEN,,S. Verma
ALT-2287,CSE-05,,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Malicious byte sequence designed to trigger stack corruption detected,2026-08-02T03:08:00+05:30,2026-08-02T03:19:00+05:30,,ACKNOWLEDGED,,P. Nair
ALT-2288,CSE-07,,MEDIUM,port-scan,Distributed reconnaissance probing OT gateway,Stealth FIN scan detected targeting SCADA network perimeter,2026-07-19T00:37:00+05:30,2026-07-19T00:48:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2289,CSE-01,,MEDIUM,port-scan,Sequential port scan against historian server,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-13T11:33:00+05:30,2026-07-13T11:50:00+05:30,,ACKNOWLEDGED,,
ALT-2290,CSE-03,RTU-SUB-05,CRITICAL,c2,Beaconing traffic to known suspicious external IP,Command-and-control beacon signature matched in egress traffic,2026-08-02T05:22:00+05:30,2026-08-02T05:36:00+05:30,,ACKNOWLEDGED,,A. Sharma
ALT-2291,CSE-05,TR-OPS-14,MEDIUM,port-scan,SYN sweep detected across substation network segment,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-31T05:50:00+05:30,2026-07-31T05:52:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2292,CSE-07,HIST-SRV-01,CRITICAL,exploit-attempt,Remote code execution string identified in Modbus/TCP stream,Malicious byte sequence designed to trigger stack corruption detected,2026-07-23T20:13:00+05:30,2026-07-23T20:32:00+05:30,,IN_PROGRESS,,K. Rao
ALT-2293,CSE-04,,MEDIUM,credential-stuffing,Automated credential replay attacking telemetry API,Coordinated brute-force replay utilizing breached username/password pairs,2026-07-18T18:21:00+05:30,2026-07-18T18:24:00+05:30,2026-07-19T00:31:00+05:30,RESOLVED,Compromised host isolated and imaged,P. Nair
ALT-2294,CSE-07,GATEWAY-DMZ-01,MEDIUM,c2,Periodic outbound telemetry to unverified DNS domain,Periodic low-volume outbound connections at fixed intervals,2026-07-13T21:08:00+05:30,2026-07-13T21:28:00+05:30,2026-07-14T03:32:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,P. Nair
ALT-2295,CSE-01,,HIGH,brute-force,SSH credential brute force against engineering server,Burst of failed authentication handshakes targeting remote access console,2026-07-15T03:51:00+05:30,,,OPEN,,
ALT-2296,CSE-03,ENG-WRK-02,CRITICAL,c2,Periodic outbound telemetry to unverified DNS domain,Persistent TLS session established to unclassified external endpoint,2026-08-01T10:06:00+05:30,2026-08-01T10:18:00+05:30,2026-08-01T19:10:00+05:30,RESOLVED,Compromised host isolated and imaged,R. Iyer
ALT-2297,CSE-05,EN-SCADA-04,MEDIUM,xss,Cross-site scripting vector identified in operator console,Web application firewall flagged embedded script tags in input fields,2026-07-12T05:58:00+05:30,2026-07-12T06:03:00+05:30,2026-07-12T08:25:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,A. Sharma
ALT-2298,CSE-07,HIST-SRV-01,HIGH,brute-force,Repeated authentication failures on SCADA gateway,High rate of NTLM login failures originating from untrusted subnet,2026-07-24T10:47:00+05:30,2026-07-24T11:02:00+05:30,,IN_PROGRESS,,A. Sharma
ALT-2299,CSE-02,,HIGH,sql-injection,Malformed query string on engineering portal,Time-delay SQL injection signature matched in asset query request,2026-07-25T13:05:00+05:30,2026-07-25T13:28:00+05:30,2026-07-25T17:56:00+05:30,CLOSED,Source IP null-routed at edge firewall,K. Rao
ALT-2300,CSE-02,RTU-SUB-01,HIGH,exploit-attempt,Buffer overflow probe targeting legacy PLC firmware,Malicious byte sequence designed to trigger stack corruption detected,2026-07-08T13:30:00+05:30,2026-07-08T13:41:00+05:30,2026-07-08T16:56:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,P. Nair
ALT-2301,CSE-03,HIST-SRV-01,CRITICAL,c2,Periodic outbound telemetry to unverified DNS domain,Command-and-control beacon signature matched in egress traffic,2026-07-17T04:50:00+05:30,2026-07-17T05:07:00+05:30,2026-07-17T07:24:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,P. Nair
ALT-2302,CSE-05,ENG-WRK-07,HIGH,ddos,Volumetric traffic spike against signalling gateway,High-bandwidth NTP/DNS reflection flood impacting telemetry transmission,2026-07-26T03:34:00+05:30,2026-07-26T03:36:00+05:30,,IN_PROGRESS,,K. Rao
ALT-2303,CSE-07,EN-SCADA-02,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Packet structure matched signature for CVE-2023 remote execution attempt,2026-07-24T04:04:00+05:30,2026-07-24T04:26:00+05:30,,ACKNOWLEDGED,,A. Sharma
ALT-2304,CSE-05,RTU-SUB-05,HIGH,sql-injection,Blind SQL injection heuristic triggered on API gateway,Time-delay SQL injection signature matched in asset query request,2026-07-09T22:18:00+05:30,2026-07-09T22:34:00+05:30,,IN_PROGRESS,,R. Iyer
